,species,0
0,Amegilla quadrifasciata,224
1,Andrena agilissima,154
2,Andrena bicolor,146
3,Andrena cineraria,1686
4,Andrena clarkella,457
5,Andrena denticulata,109
6,Andrena flavipes,408
7,Andrena florea,230
8,Andrena fulva,2331
9,Andrena gravida,120
10,Andrena haemorrhoa,1372
11,Andrena hattorfiana,525
12,Andrena nigroaenea,240
13,Andrena nitida,342
14,Andrena nycthemera,128
15,Andrena thoracica,101
16,Andrena vaga,754
17,Andrena ventralis,147
18,Anthidiellum strigatum,157
19,Anthidium florentinum,701
20,Anthidium manicatum,1289
21,Anthidium oblongatum,165
22,Anthidium septemspinosum,164
23,Anthophora bimaculata,153
24,Anthophora furcata,116
25,Anthophora plumipes,1041
26,Apis mellifera,49599
27,Bombus argillaceus,239
28,Bombus bohemicus,190
29,Bombus campestris,360
30,Bombus hortorum,1015
31,Bombus humilis,437
32,Bombus hypnorum,5204
33,Bombus lapidarius,5816
34,Bombus lucorum,720
35,Bombus muscorum,117
36,Bombus pascuorum,12455
37,Bombus pratorum,2920
38,Bombus ruderatus,140
39,Bombus rupestris,634
40,Bombus sylvarum,677
41,Bombus terrestris lusitanicus,215
42,Bombus vestalis,483
43,Ceratina cucurbitina,487
44,Chelostoma florisomne,170
45,Colletes cunicularius,725
46,Colletes hederae,1097
47,Dasypoda hirtipes,797
48,Halictus rubicundus,184
49,Halictus scabiosae,1618
50,Halictus sexcinctus,117
51,Heriades truncorum,146
52,Hylaeus variegatus,143
53,Lithurgus chrysurus,132
54,Macropis europaea,254
55,Megachile centuncularis,133
56,Megachile ericetorum,222
57,Megachile sculpturalis,337
58,Melecta albifrons,180
59,Nomada goodeniana,231
60,Nomada lathburiana,122
61,Osmia aurulenta,129
62,Osmia bicolor,274
63,Osmia bicornis,2582
64,Osmia caerulescens,141
65,Osmia cornuta,2209
66,Rhodanthidium septemdentatum,211
67,Rhodanthidium sticticum,162
68,Sphecodes albilabris,436
69,Xylocopa valga,217
70,Xylocopa violacea,4042
